시도교육청,교육지원청,학교명,설립구분,1학년,2학년,3학년,4학년,5학년,6학년,특수학급,순회학급,학급수(계),학생수(계),학급당학생수,작은학교여부,지역(시),지역(구)
서울특별시교육청,서울특별시강남서초교육지원청,서울서이초등학교,공립,8,8,8,8,7,9,0,0,48,1293,26.9,0,서울특별시,서초구
서울특별시교육청,서울특별시강남서초교육지원청,서울서일초등학교,공립,4,3,4,4,4,4,1,0,24,468,19.5,0,서울특별시,서초구
서울특별시교육청,서울특별시강남서초교육지원청,서울서초초등학교,공립,4,5,6,7,7,7,2,0,38,930,24.5,0,서울특별시,서초구
서울특별시교육청,서울특별시강남서초교육지원청,서울수서초등학교,공립,2,1,2,1,2,2,2,0,12,126,10.5,0,서울특별시,강남구
서울특별시교육청,서울특별시강남서초교육지원청,서울신구초등학교,공립,3,3,4,3,4,4,2,0,23,443,19.3,0,서울특별시,강남구
서울특별시교육청,서울특별시강남서초교육지원청,서울신동초등학교,공립,7,7,7,8,9,11,0,0,49,1141,23.3,0,서울특별시,서초구
서울특별시교육청,서울특별시강남서초교육지원청,서울신중초등학교,공립,6,5,6,6,6,7,1,0,37,808,21.8,0,서울특별시,서초구
서울특별시교육청,서울특별시강남서초교육지원청,서울압구정초등학교,공립,6,6,6,6,6,7,0,0,37,826,22.3,0,서울특별시,강남구
서울특별시교육청,서울특별시강남서초교육지원청,서울양재초등학교,공립,3,3,3,4,5,5,2,0,25,448,17.9,0,서울특별시,서초구
서울특별시교육청,서울특별시강남서초교육지원청,서울양전초등학교,공립,2,2,3,3,3,4,1,0,18,329,18.3,0,서울특별시,강남구
서울특별시교육청,서울특별시강남서초교육지원청,서울언남초등학교,공립,6,6,7,9,8,8,3,0,47,973,20.7,0,서울특별시,서초구
서울특별시교육청,서울특별시강남서초교육지원청,서울언북초등학교,공립,8,8,10,10,10,13,2,0,61,1539,25.2,0,서울특별시,강남구
서울특별시교육청,서울특별시강남서초교육지원청,서울언주초등학교,공립,6,7,8,9,11,11,2,0,54,1370,25.4,0,서울특별시,강남구
서울특별시교육청,서울특별시강남서초교육지원청,서울역삼초등학교,공립,2,2,3,3,3,3,2,0,18,311,17.3,0,서울특별시,강남구
서울특별시교육청,서울특별시강남서초교육지원청,서울영희초등학교,공립,2,2,3,2,3,2,2,0,16,264,16.5,0,서울특별시,강남구
서울특별시교육청,서울특별시강남서초교육지원청,서울왕북초등학교,공립,4,5,6,5,6,7,2,0,35,815,23.3,0,서울특별시,강남구
서울특별시교육청,서울특별시강남서초교육지원청,서울우암초등학교,공립,2,2,2,2,2,2,2,0,14,220,15.7,0,서울특별시,서초구
서울특별시교육청,서울특별시강남서초교육지원청,서울원명초등학교,공립,7,7,7,7,7,8,0,0,43,1147,26.7,0,서울특별시,서초구
서울특별시교육청,서울특별시강남서초교육지원청,서울원촌초등학교,공립,7,6,8,7,7,8,2,0,45,1006,22.4,0,서울특별시,서초구
서울특별시교육청,서울특별시강남서초교육지원청,서울이수초등학교,공립,4,4,4,4,5,4,2,0,27,506,18.7,0,서울특별시,서초구
